oligos_id,total_per_sample
1105I..pool571,104100
1105J..pool571,125828
1105K..pool571,171820
1105L..pool571,138012
1105M..pool571,195384
1105N..pool571,176218
1105O..pool571,205716
1105P..pool571,222884
1105Q..pool571,122366
1105R..pool592,531978
1105S..pool592,45200
1105T..pool592,10020
1105U..pool592,24220
1106..pool536,23040
1106D..pool685,55754
1106E..pool685,102648
1106F..pool754,88108
1107..pool536,97008
1107A..pool571,112514
1107C..pool571,76032
1107D..pool571,280844
1107E..pool571,152350
1107G..pool592,16012
1107H..pool592,17644
1107I..pool592,11114
1107J..pool592,19196
1107K..pool592,19912
1107L..pool592,10846
1107M..pool592,20564
1107N..pool592,16266
1107O..pool592,23640
1107P..pool592,10798
1107Q..pool592,22714
1107R..pool715,323162
1107S..pool715,198636
1107T..pool715,187640
1108..pool203,9034
1108G..pool592,55482
1108H..pool592,22808
1108I..pool594,121122
1108J..pool754,35062
110A..pool536,102172
1110..pool264,16858
1110A..pool592,38088
1110G..pool592,26558
1110H..pool592,12334
1110I..pool592,18930
1110J..pool592,62182
1110K..pool592,17926
1110L..pool592,31056
1110M..pool593,41624
1110N..pool593,16398
1110O..pool593,14390
1110P..pool593,17418
1110Q..pool593,9448
1110R..pool593,22806
1110S..pool593,13632
1111..pool264,20348
1112..pool480,19072
1112D..pool685,114012
1112E..pool685,75870
1112F..pool754,108556
1116A..pool644,613452
1116B..pool593,21110
1116C..pool593,13080
1116D..pool593,13944
1117B..pool593,24848
1117C..pool685,120374
1117D..pool754,139928
1117E..pool754,122178
1118A..pool593,58482
1119A..pool593,21108
1119B..pool593,39518
1119C..pool593,18040
1119D..pool593,20844
1119E..pool593,15348
1119F..pool594,58996
1119G..pool594,48276
1120..pool536,70012
1121..pool203,16658
1121A..pool593,28794
1121B..pool593,41220
1121C..pool593,11080
1121D..pool754,106402
1123..pool536,118598
1123B..pool593,55794
1123C..pool593,39680
1123D..pool593,27064
1123E..pool593,20564
1123F..pool594,50674
1124..pool203,88354
1124A..pool593,5784
1124B..pool593,76108
1124C..pool593,15002
1124D..pool593,29328
1124E..pool594,45096
1124F..pool685,107272
1124G..pool754,58112
1124H..pool754,86870
1125..pool536,8562
1125A..pool593,62148
1127A..pool593,10248
1127B..pool593,22150
1127D..pool754,117038
1127E..pool754,45170
1128A..pool593,29658
1128B..pool593,48692
1128C..pool593,15774
1128D..pool594,32470
1128E..pool594,52452
1128F..pool604,28900
112B..pool536,93452
112D..pool536,14922
112E..pool536,15490
112F..pool536,107912
112G..pool536,70610
1130A..pool594,91908
1130B..pool594,42544
1134A..pool593,77172
1136A..pool594,49262
1136B..pool604,57130
1136D..pool754,69058
1136E..pool754,134920
1136F..pool685,99014
1136G..pool754,124438
1136H..pool754,117824
1139A..pool594,88380
1141A..pool594,87488
1141B..pool604,14184
1141C..pool604,40934
1141D..pool604,58610
1141E..pool685,62594
1141F..pool685,77716
1143A..pool604,92364
1143AA..pool710,335426
1143B..pool644,349656
1143BB..pool655,70230
1143C..pool644,270894
1143CC..pool655,52184
1143D..pool655,89036
1143DD..pool655,64646
1143E..pool655,19368
1143EE..pool655,59990
1143FF..pool710,321150
1143G..pool710,324178
1143H..pool710,267106
1143I..pool710,373136
1143J..pool655,46426
1143K..pool655,42850
1143L..pool710,409534
1143M..pool655,65460
1143N..pool655,26924
1143O..pool655,51666
1143P..pool710,324122
1143Q..pool655,69762
1143R..pool710,308244
1143S..pool710,568182
1143T..pool655,51156
1143U..pool655,51506
1143W..pool655,16542
1143X..pool655,88308
1143Y..pool655,82362
1144A..pool604,40546
1144B..pool604,32806
1144E..pool754,77444
1147A..pool604,25458
1147B..pool604,78604
1147C..pool759,62090
114A..pool536,146264
114B..pool537,115812
114C..pool537,60294
1150A..pool604,73780
1150B..pool604,36888
1150C..pool759,18584
1150D..pool759,63226
1151A..pool604,27238
1151B..pool759,10786
1151C..pool759,21416
1151D..pool759,4136
1151E..pool759,36986
1151F..pool759,14284
1151G..pool759,49856
1151H..pool759,49708
1156A..pool759,64738
1156B..pool759,30238
1156E..pool759,18896
1157A..pool644,422832
1157B..pool644,233328
1157C..pool644,334722
1157D..pool644,220816
1157DD..pool655,38208
1157E..pool655,82392
1157F..pool715,313790
1157K..pool715,204208
1157L..pool655,39526
1157M..pool655,42098
1157S..pool655,37636
1157T..pool655,19704
1157U..pool655,83998
1157V..pool715,236434
1157W..pool655,32792
1157X..pool655,30362
1157Y..pool655,65608
1157Z..pool655,29486
1158B..pool676,114878
1158C..pool676,58910
1158D..pool676,118112
1158E..pool676,25454
1158F..pool676,49200
1158G..pool676,53162
1158H..pool676,169862
1158I..pool676,294938
1158J..pool676,43218
1158K..pool676,83826
1158L..pool676,69600
1158M..pool677,116734
1158N..pool677,174986
1158R..pool677,132992
1158S..pool677,150278
1158T..pool677,128304
1158U..pool677,162294
1158V..pool677,115908
115B..pool537,76178
1160A..pool644,363918
1160B..pool644,276904
1160D..pool644,208578
1160E..pool644,396236
1160F..pool644,417916
1160G..pool655,45340
1160H..pool715,197530
1160I..pool655,64110
1160J..pool655,94382
1160K..pool655,38094
1160L..pool655,79206
1160M..pool655,20274
1160N..pool715,336960
1160O..pool655,82082
1160P..pool655,75944
1160Q..pool655,127200
1160R..pool655,97844
1160S..pool715,125544
1160T..pool715,356302
1160U..pool715,276698
1160V..pool715,327838
1160W..pool715,441944
1161E..pool795,137420
1161F..pool795,92748
1161G..pool795,83018
1161I..pool795,154714
1161J..pool795,77508
1161K..pool795,106432
1161L..pool795,112840
1161M..pool795,117580
1161N..pool795,98992
1161O..pool795,101514
1161P..pool795,128652
1161Q..pool827,3156
1163A..pool644,498912
1163B..pool644,554290
1163C..pool715,427840
1163D..pool715,325146
1163E..pool715,326124
1163F..pool715,364920
1163G..pool715,149728
1163H..pool715,427780
1163I..pool715,229654
1163J..pool715,292984
1163K..pool715,330206
1163L..pool715,436736
1163M..pool715,365010
1163N..pool715,165118
1163O..pool715,332408
1163P..pool716,381622
1163Q..pool716,377636
1163R..pool716,645698
1163S..pool716,622492
1163T..pool716,664454
1163U..pool685,112528
1167A..pool716,530472
1167AA..pool716,481476
1167B..pool716,662540
1167BB..pool716,540590
1167C..pool716,118442
1167CC..pool716,511656
1167D..pool716,350814
1167DD..pool716,405100
1167E..pool716,393958
1167EE..pool716,314184
